# Original ID	# EFS_Rank	# MW_Rank	# Spectral_Library_Match	Synonym	ID	Precursor m/z	Mass error (ppm)	RT (min)	Formula	Adduct	Tanimoto similarity	InChIKey planar
92	9	234	NA	Metronidazole-OH	1011	188.0663	-1.4	0.5	C6H9N3O4	[M + H]+	0.93	AEHPOYAOLCAMIU
132	50	286	NA	1-16:0-lysoPC	867	518.3237	3.7	6	C24H50NO7P	[M + Na]+	0.99	ASWBNKHCZGQVJV
225	30	31	NA	Isoleucylproline	885	229.1533	-6.1	0.4	C11H20N2O3	[M + H]+	0.54	BBIXOODYWPFNDT
774	NA	36	NA	2-[[2-[(2-amino-3-hydroxybutanoyl)amino]-3-hydroxypropanoyl]amino]-3-(1H-imidazol-5-yl)propanoic acid	6930	344.1599	9.8	3.5	C13H21N5O6	[M + H]+	0.39	BCYUHPXBHCUYBA
1802	62	22	NA	Tocris-0605	1092	288.2155	-5.2	4.1	C15H29NO4	[M + H]+	0.98	CXTATJFJDMJMIY
1425	NA	50	NA	3-{[(9Z)-17-carboxyheptadec-9-enoyl]oxy}-4-(trimethylammonio)butanoate	1867	456.3311	-1.9	5.4	C25H45NO6	[M + H]+	0.61	CYPBWZKNUDFJJE
822	NA	41	NA	null	2681	340.1744	8.6	2.8	C12H25N3O8	[M + H]+	0.41	DAKOSHWCXIPQFW
804	32	85	NA	b-Uridine	1245	267.0583	-1.9	0.3	C9H12N2O6	[M + Na]+	0.42	DRTQHJPVMGBUCF
429	37	223	NA	(2E,5Z,7E)-deca-2,5,7-trienoylcarnitine	957	310.2006	-2.4	3.9	C17H27NO4	[M + H]+	0.61	DUQXBEFMRJGSKH
114	17	100	Spectral Match to D-erythro-Sphingosine-1-phosphate from NIST14	Epitope ID:161059	952	380.2548	-3.3	5.8	C18H38NO5P	[M + H]+	0.99	DUYSYHSSBDVJSM
3978	NA	35	NA	6-Keto-decanoylcarnitine	3393	330.2279	1.1	3.6	C17H31NO5	[M + H]+	0.51	DZALQUYFNHIYDL
1189	47	281	NA	Sarcine	999	137.0452	-4.6	0.3	C5H4N4O	[M + H]+	0.93	FDGQSTZJBFJUBT
835	NA	25	NA	sebacoylcarnitine	2068	346.2244	5.7	3.4	C17H31NO6	[M + H]+	0.84	GBFPILOKXGQZKW
247	46	32	NA	9-Decenoylcarnitine	1232	314.2313	-4.1	4.6	C17H31NO4	[M + H]+	0.83	GOOOCIIXFLVRAG
777	NA	43	NA	bmse000410	2203	190.0498	-0.4	1.3	C10H7NO3	[M + H]+	0.75	HCZHHEIFKROPDY
4591	NA	47	NA	Diacylglycerol(15:0/16:1)	1719	575.4672	4.4	9.2	C34H64O5	[M + Na]+	0.6	IHIWKNWPECHDKE
13	11	5	NA	1-18:0-lysoPC	803	546.3574	8	6.6	C26H54NO7P	[M + Na]+	0.84	IHNKQIMGVNPMTC
210	29	302	Massbank: Hydrocortisone	Acticort	942	363.2149	-4.7	4.1	C21H30O5	[M + H]+	0.99	JYGXADMDTFJGBT
