Synonym	ID	Precursor m/z	Mass error (ppm)	RT (min)	Formula	Adduct	Tanimoto similarity	InChIKey planar	log2(FC)	P-value	Q-value	Class
ethyl-dUTP	1644	494.9989	2.6	1	C11H19N2O14P3	[M - H]-	0.67	HSZWVJYQEOARCE	23.8723232570446	2.88110291146042e-11	7.07782479964579e-09	Pyrimidine deoxyribonucleoside triphosphates
8-Aminoadenosine cyclic 3',5'-(hydrogen phosphate) 5'-ribofuranosyl ester	2339	555.0702	9.8	1.1	C15H22N6O13P2	[M - H]-	0.57	YXPVCOGBORSVTN	23.225634055907	3.02735394151379e-11	7.07782479964579e-09	NA
D-sulfolactate	288	168.98	-7.2	1	C3H6O6S	[M - H]-	0.81	CQQGIWJSICOUON	-3.84081647798568	7.64569938348073e-07	4.69482350238019e-05	NA
(1beta,4beta)-5beta,6beta-Dihydroxy-7-oxabicyclo[2.2.1]heptane-2beta,3beta-dicarboxylic acid	399	217.0347	-3.1	1.5	C8H10O7	[M - H]-	0.56	HZUPENFESXIQFM	-4.10802992447509	9.58949483952109e-07	5.75146678863369e-05	Dicarboxylic acids and derivatives
3-[4-(beta-D-Glucopyranosyloxy)phenyl]propionic acid	1655	327.1081	-1.3	9.2	C15H20O8	[M - H]-	0.71	CTBTYMWZDWFXTH	4.20016048553964	1.14742408941067e-06	6.72546983315934e-05	Phenolic glycosides
3,4-Dihydroxy-2-methylenebutyric acid	1639	131.0338	-8.8	1.7	C5H8O4	[M - H]-	0.6	OIWJREZAJZVGQN	2.71783366498835	2.97231820749094e-06	0.000153312173142383	Hydroxy fatty acids
AltA	268	193.0344	-5.1	1	C6H10O7	[M - H]-	0.7	AEMOLEFTQBMNLQ	-2.50297521149693	3.41362148549552e-06	0.000166108109643263	Glucuronic acid derivatives
dec-6-enoate	482	169.1223	-6.8	21.2	C10H18O2	[M - H]-	0.53	IZOFWCYKCWUJBY	-2.30545559375497	4.4717920556474e-06	0.000209686394754812	Medium-chain fatty acids
Geniposidinsaure	1642	373.1136	-1.2	9.2	C16H22O10	[M - H]-	0.69	ZJDOESGVOWAULF	2.52622698314488	5.15207219994233e-06	0.000229089555235367	Iridoid O-glycosides
4-O-methyl-d-glucaric acid	274	223.045	-4.2	1	C7H12O8	[M - H]-	0.75	MDGDZMIEJCCPTI	-2.71463357755244	8.23349901721172e-06	0.000337050697863318	Glucuronic acid derivatives
digalactosyl ononitol	345	549.1666	-1.2	1.1	C19H34O18	[M - H]-	0.5	HUMKCYVGICAQIT	-3.32918638787403	1.19719336180101e-05	0.000454053188247767	C-glycosyl compounds
1-deoxyribitol-5-monophosphate	267	215.032	-2.9	1	C5H13O7P	[M - H]-	0.68	YPXGTKHZRCDZTL	2.33132916402059	1.49235804454237e-05	0.00054982734241068	Monoalkyl phosphates
galactonate	245	195.05	-5.1	1	C6H12O7	[M - H]-	0.94	RGHNJXZEOKUKBD	-1.93355809184582	1.59731537080667e-05	0.000580207935395831	Medium-chain hydroxy acids and derivatives
cellobionate	395	357.1031	-2.2	1	C12H22O12	[M - H]-	0.85	JYTUSYBCFIZPBE	-1.83508054184195	1.83400010219822e-05	0.000656928647717945	Fatty acyl glycosides of mono- and disaccharides
7-methyl-9-oxodec-7-enoic acid	761	197.1174	-4.9	21.2	C11H18O3	[M - H]-	0.65	DEIQQSNBDUHJNT	2.64480917184603	1.93171635202314e-05	0.000682451571488724	Medium-chain fatty acids
Hydroxyhydroquinone	1535	125.0232	-9.5	3.1	C6H6O3	[M - H]-	0.83	GGNQRNBDZQJCCN	2.97296008191865	2.03300235237407e-05	0.000702773393999009	Hydroxyquinols and derivatives
Adenox	385	264.0719	-7.3	1	C10H11N5O4	[M - H]-	0.56	ILMNSCQOSGKTNZ	-2.28993856409855	2.09823774090437e-05	0.000702773393999009	Purines and purine derivatives
(2S,3S,4S,5R,6S)-3,4,5-trihydroxy-6-(4-phenoxyphenoxy)oxane-2-carboxylic acid	2331	361.09	-8	1.1	C18H18O8	[M - H]-	0.53	UKGMLDJBEMVQLQ	4.25991968119241	2.08742251290891e-05	0.000702773393999009	Phenolic glycosides
Genipin	303	225.076	-3.9	13.5	C11H14O5	[M - H]-	0.64	AZKVWQKMDGGDSV	-2.53582220429197	2.14599670678217e-05	0.000709554552152719	Iridoids and derivatives
cipatrijugin A	1994	527.2322	6.6	20.1	C29H36O9	[M - H]-	0.5	CABATAPDJFTPNH	2.62383481864799	2.19556736417666e-05	0.000715594054746305	Tricarboxylic acids and derivatives
TS-70	414	453.1006	-4.9	1	C14H23N4O11P	[M - H]-	0.51	VBXZSBKAJFXURR	-6.9929565877127	2.68130740398108e-05	0.000823225213674668	Xanthines
3-hydroxycinnamaldehyde	1196	147.044	-8.1	15.1	C9H8O2	[M - H]-	0.76	DCHPWNOJPJRSEA	1.66842531692069	2.98282054790369e-05	0.000905022846240426	Cinnamaldehydes
saccharate	269	209.0294	-4.4	1	C6H10O8	[M - H]-	0.81	DSLZVSRJTYRBFB	-3.69412135458124	3.21497263429599e-05	0.000942996614013424	Glucuronic acid derivatives
Sophorotriose	410	503.161	-1.6	1.1	C18H32O16	[M - H]-	0.8	UQBIAGWOJDEOMN	-2.19149413395861	4.07744340904246e-05	0.00114301375564353	Oligosaccharides
Lactotrehalose	58	341.1082	-2.1	1	C12H22O11	[M - H]-	0.9	HDTRYLNUVZCQOY	-2.13594551071149	4.26607718765419e-05	0.001183033663114	O-glycosyl compounds
2-deoxy-d-glycero-tetrodialdose	451	101.0231	-13.4	0.9	C4H6O3	[M - H]-	0.56	VTERBIYJBWDXDT	-3.30703552834643	4.60547000816722e-05	0.00123743382163648	Beta-hydroxy aldehydes
2-Hydroxy-3-methylbenzaldehyde	1271	135.044	-8.8	4.5	C8H8O2	[M - H]-	0.59	IPPQNXSAJZOTJZ	1.97617534465908	4.71171709475449e-05	0.00124728027358736	Aryl-aldehydes
Ribonate	282	165.0393	-7.1	0.9	C5H10O6	[M - H]-	0.91	QXKAIJAYHKCRRA	-1.64119045123557	4.92970224252765e-05	0.00127137020834788	Sugar acids and derivatives
Octose	431	239.0764	-3.6	1	C8H16O8	[M - H]-	0.63	ZEPAXLPHESYSJU	-1.99593686019244	4.88807302150247e-05	0.00127137020834788	Octoses
5-hydroxy-1,2,3,7-tetramethoxy-6-[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxyxanthen-9-one	2321	509.127	-6.1	1.1	C23H26O13	[M - H]-	0.53	FGJBUXQEYDEVAL	3.75349280517833	5.20826123192538e-05	0.00132128252433709	Xanthenes
Atranol	1178	151.039	-6.9	3.5	C8H8O3	[M - H]-	0.56	JASONGFGOLHLGB	-2.61429471739758	5.75676442047749e-05	0.00140063164532184	Aryl-aldehydes
(22R)-1beta,2beta,3beta,14,20,22,25-Heptahydroxy-5beta-stigmasta-7-ene-6-one	1785	523.3268	-1.6	22.4	C29H48O8	[M - H]-	0.52	KWOLRPNEMKAFDT	4.11869699844723	6.04820868002255e-05	0.00145778786782973	Stigmastanes and derivatives
(2S,3R,4R,5R,6S)-2-[(2R,3R,4S,5S,6R)-4,5-dihydroxy-2-[2-(3-hydroxy-4-methoxyphenyl)ethoxy]-6-(hydroxymethyl)oxan-3-yl]oxy-6-methyloxane-3,4,5-triol	1395	475.1815	-1.3	7.6	C21H32O12	[M - H]-	0.64	OSEBKVVIVKEDHT	-2.01773035147392	6.13277316292022e-05	0.00145845866778837	O-glycosyl compounds
3,4,5-trihydroxy-6-(2-hydroxyethoxy)oxane-2-carboxylic acid	630	237.0607	-3.9	1	C8H14O8	[M - H]-	0.76	ZPOANLXNWQACPS	-1.5363683047711	6.22825975167534e-05	0.00146024380905188	Glucuronic acid derivatives
Gluceptate	281	225.0608	-3.6	0.9	C7H14O8	[M - H]-	0.56	KWMLJOLKUYYJFJ	-4.48494526850616	7.1680003309777e-05	0.00163595334987535	Sugar acids and derivatives
2-deoxycellobiose	574	327.0924	-2.6	1	C11H20O11	[M - H]-	0.63	ZLSHPOOYAKKJSB	-1.61649084711632	7.14714630995746e-05	0.00163595334987535	O-glycosyl compounds
(2S,3R,4S,5S,6R)-2-[4-[(3S,3aR,6S,6aR)-6-(4-hydroxy-3,5-dimethoxyphenyl)-1,3,3a,4,6,6a-hexahydrofuro[3,4-c]furan-3-yl]-2-hydroxy-6-methoxyphenoxy]-6-(hydroxymethyl)oxane-3,4,5-triol	313	565.1918	-1.6	15.4	C27H34O13	[M - H]-	0.59	GZMNUFHJDKKCRX	-1.42565649210799	9.27312418925721e-05	0.00204824509665939	Lignan glycosides
(1S,4aR,6S,7R,7aS)-4a,6,7-trihydroxy-7-methyl-1-[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy-1,5,6,7a-tetrahydrocyclopenta[c]pyran-4-carbaldehyde	484	391.1244	-0.5	3.4	C16H24O11	[M - H]-	0.76	BGKSXZCAOMVVOF	-1.3410056229228	0.000142016827884447	0.00273070205382194	Iridoid O-glycosides
(S,10E,12E,14E)-9-Hydroxy-16-oxooctadeca-10,12,14-trienoic acid	447	307.1911	-1.3	20.9	C18H28O4	[M - H]-	0.5	FCCFXOHVERVHQR	-1.15944709683825	0.000142047247554678	0.00273070205382194	Lineolic acids and derivatives
4-Hydroxy-2-methoxycinnamaldehyde	676	177.0547	-5.9	16.4	C10H10O3	[M - H]-	0.68	MRCGVXARHKOYKU	1.24406058277073	0.000141365392948175	0.00273070205382194	Methoxyphenols
4ciw	328	217.0709	-3.9	1.5	C9H14O6	[M - H]-	0.56	HVNZLWXJZRWNGG	-1.0767259950516	0.0001536279638822	0.00289201838578244	Cyclitols and derivatives
saccharolactone	297	191.0189	-4.3	1	C6H8O7	[M - H]-	0.75	XECPAIJNBXCOBO	-1.66536508050281	0.000200366098084924	0.00363904342930296	Gamma butyrolactones
1b-Hydroxycholate	1939	423.2747	-1.2	23.6	C24H40O6	[M - H]-	0.55	UYVVLXVBEQAATF	3.45515034156102	0.000230126614651015	0.00403739142302699	Tetrahydroxy bile acids, alcohols and derivatives
aldehydo-L-arabinuronate	381	163.0237	-7.1	1.1	C5H8O6	[M - H]-	0.68	VQUZNVATTCZTQO	-1.35867156787307	0.000240441739478822	0.00418985977105326	Sugar acids and derivatives
(2R,3S)-2-hexyl-3-hydroxypentanedioic acid	925	231.1231	-3	19.4	C11H20O5	[M - H]-	0.51	MFSMRLNNRGLWQD	-2.55501300420046	0.000265914003957387	0.00454167030600067	Medium-chain hydroxy acids and derivatives
D-xylobionate	454	297.082	-2.5	1	C10H18O10	[M - H]-	0.68	DGXURXUMSDNLNT	-1.43355940713417	0.000290158754266766	0.00485921706009085	O-glycosyl compounds
Ficusesquilignan B	641	583.2178	-1.2	19.3	C31H36O11	[M - H]-	0.56	GWAGNJOOCODQGM	-1.29151034398903	0.000321368967208795	0.00521264507189612	Furanoid lignans
9-(2,3-dihydroxypropoxy)-9-oxononanoic acid	921	261.134	-1.3	15.1	C12H22O6	[M - H]-	0.59	BQRISQXLSXCXSC	-1.15614456459162	0.000328577872181893	0.00529221156999861	Medium-chain fatty acids
2-Carboxy-alpha-methylcyclopentaneacetic acid	276	185.0809	-5.4	6.3	C9H14O4	[M - H]-	0.56	BVHSPGBGHGXBMY	-1.10608593505062	0.000378678071546516	0.00589300636671226	Iridoids and derivatives
O-Gluur-gal	518	355.0874	-2.2	1	C12H20O12	[M - H]-	0.71	SYZNAVOGLCTGII	-2.56365673193912	0.000439255684791802	0.00658628145975615	Fatty acyl glycosides of mono- and disaccharides
Tanegool	592	375.1445	-1.3	15.7	C20H24O7	[M - H]-	0.6	MWQRAOGWLXTMIC	-1.07032600443	0.000455631431196974	0.00675329575320113	Tetrahydrofuran lignans
Orcinoside A	287	583.2025	-1.3	12.1	C27H36O14	[M - H]-	0.6	SHOPWAJXDMLALR	-0.969687274929164	0.000465738757711523	0.00684355965913384	Phenolic glycosides
4-oxononanoate	1110	171.1016	-6.4	19.7	C9H16O3	[M - H]-	0.74	PRDIIROHTWNJDB	-1.20631398364173	0.000515625711576947	0.00727647548230011	Medium-chain keto acids and derivatives
Cytospolide F	1299	285.1703	-1.4	17.6	C15H26O5	[M - H]-	0.53	ATNGVHJGYIWYSL	1.20796338895311	0.000534854601083783	0.00745616224970312	Oxocins
inositol	262	179.0551	-5.7	0.9	C6H12O6	[M - H]-	0.6	CDAISMWEOUEBRE	-1.7908373861524	0.000541778556970863	0.00751208009907449	Cyclohexanols
[(1S,2R,4S,5R,6S,10S)-6-hydroxy-2-methyl-10-[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy-3,9-dioxatricyclo[4.4.0.02,4]dec-7-en-5-yl] (1S,4aS,7S,7aS)-7-hydroxy-7-methyl-1-[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy-4a,5,6,7a-tetrahydro-1H-cyclopenta[c]pyran-4-carboxylate	938	719.2399	-0.7	9.1	C31H44O19	[M - H]-	0.68	FDHKIHNRBMODHH	-1.74630289053109	0.000553749959248497	0.0076370114700635	Iridoid O-glycosides
Methyl-D-galabioside	636	355.1239	-2	1.1	C13H24O11	[M - H]-	0.61	FHNIYFZSHCGBPP	-1.06053435379622	0.000574309241486176	0.00779549228312025	O-glycosyl compounds
p-Hydroxyphenylacetaldehyde	280	135.044	-8.9	10.2	C8H8O2	[M - H]-	0.56	IPRPPFIAVHPVJH	-0.898489967692915	0.000596088580664615	0.00804875628028295	Phenylacetaldehydes
3-oxooctanoate	420	157.0858	-7.6	20.2	C8H14O3	[M - H]-	0.66	FWNRRWJFOZIGQZ	-3.17596129447311	0.000608428631177391	0.00813323265491891	Medium-chain keto acids and derivatives
Undecanedioic acid, 5-oxo-	862	229.1075	-3.1	18.6	C11H18O5	[M - H]-	0.56	MEEMMABYFKSQGY	-3.10534602006679	0.000658679164239503	0.00865221447311145	Medium-chain fatty acids
Anhydroarabinose	598	149.0444	-7.7	0.9	C5H10O5	[M - H]-	0.74	PYMYPHUHKUWMLA	-1.08653030127576	0.00066426462414737	0.00865221447311145	Monosaccharides
bisvertinoquinol	1866	497.2227	9.3	20.3	C28H34O8	[M - H]-	0.57	ZXWVVZIMJSPORF	2.41388445532032	0.000698810943588129	0.00896633544036709	Cyclic ketones
9,12-octadecadiynoic acid	549	275.2012	-1.8	23.3	C18H28O2	[M - H]-	0.55	KDYILQLPKVZDGB	-2.22290092604609	0.000743674367940232	0.00940164801430322	Long-chain fatty acids
Geniposide	351	387.1292	-1.3	12.4	C17H24O10	[M - H]-	0.73	IBFYXTRXDNAPMM	-0.892019839290875	0.000750719380150203	0.00944441600686523	Iridoid O-glycosides
L-beta-hydroxymyristate	1384	243.196	-2.4	24.1	C14H28O3	[M - H]-	0.79	ATRNZOYKSNPPBF	1.47019841394187	0.000812876468066428	0.00998289719592057	Long-chain fatty acids
5,10-dioxooctadeca-6,8-dienoic acid	448	307.1911	-1.3	21.5	C18H28O4	[M - H]-	0.53	XVRGWTKWKCRREP	-1.05655731457421	0.000821625021674835	0.0100425162601867	Lineolic acids and derivatives
Grayanotoxane-3,5,6,10,14,16-hexol, 14-pentanoate, (3-beta,6-beta,14R)-	1807	453.2853	-1.1	21.8	C25H42O7	[M - H]-	0.57	VBPODEAYFUFNNY	3.40869205141873	0.000825622849085167	0.0100437798480691	Leucothol and grayanotoxane diterpenoids
Gulonolactone	607	177.0394	-6	0.9	C6H10O6	[M - H]-	0.65	SXZYCXMUPBBULW	-0.90985551475737	0.000829853439659233	0.0100444092547917	Gamma butyrolactones
alpha,3alpha,4beta-Trihydroxytetrahydrofuran-2alpha-acetic acid	1692	177.0396	-5.2	1.9	C6H10O6	[M - H]-	0.72	ZDDQAAZBPZGPRB	1.32357749003451	0.000833463970734946	0.0100444092547917	Alpha hydroxy acids and derivatives
Fatty acids, C18-unsatd., phosphates	1560	377.2092	-1.7	23.9	C18H35O6P	[M - H]-	0.66	MEIOLAIVIVFAFI	1.93737269639709	0.000876986697751783	0.0102877373391045	Long-chain fatty acids
Methyl2-hydroxy-6-methoxybenzoate	603	181.0497	-5.5	8.8	C9H10O4	[M - H]-	0.53	YRJIMTHQIPOSJR	1.12518562996722	0.000877589071191543	0.0102877373391045	O-methoxybenzoic acids and derivatives
