Synonym	ID	Precursor m/z	Mass error (ppm)	RT (min)	Formula	Adduct	Tanimoto similarity	InChIKey planar	log2(FC)	P-value	Q-value	Class
Stearoyllysophosphatidylcholine	803	546.3574	8	6.6	C26H54NO7P	[M + Na]+	0.84	IHNKQIMGVNPMTC	-0.634814759860236	5.60479799194003e-07	0.000408813965532106	Lysophosphatidylcholines
3-beta,5-beta,14-beta,19,21-Pentahydroxypregnan-20-one 3,19,21-triacetate	4977	509.2733	-2.3	4.2	C27H40O9	[M + H]+	0.54	ZTWWQCOHUBHIGI	1.05642636316007	5.25292922409542e-07	0.000408813965532106	Steroid esters
Etiocholanedione	3333	289.2187	8.5	4.1	C19H28O2	[M + H]+	0.51	RAJWOBJTTGJROA	0.826587982624609	9.91829718468859e-07	0.000602867163875988	Androgens and derivatives
Isoleucylproline	885	229.1533	-6.1	0.4	C11H20N2O3	[M + H]+	0.54	BBIXOODYWPFNDT	0.867589938613563	2.78936621921713e-06	0.000897166278559111	Dipeptides
sebacoylcarnitine	2068	346.2244	5.7	3.4	C17H31NO6	[M + H]+	0.84	GBFPILOKXGQZKW	1.05132832499773	2.95201407806672e-06	0.000897166278559111	Acyl carnitines
Dimethylguanosine	2231	312.13	-0.8	0.7	C12H17N5O5	[M + H]+	0.99	RSPURTUNRHNVGF	0.942395295614536	2.76350025507796e-06	0.000897166278559111	Purine nucleosides
N6-Threonylcarbamoyladenosine	2199	413.141	-1.4	2.1	C15H20N6O8	[M + H]+	0.7	UNUYMBPXEFMLNW	1.01756203558269	1.83852099122011e-06	0.000897166278559111	Purine nucleosides
Dextrothyroxine	1960	777.6948	1	4.7	C15H11I4NO4	[M + H]+	0.99	XUIIKFGFIJCVMT	-0.565312179763416	4.57149570351041e-06	0.00119087463076446	Alpha amino acids and derivatives
Hexanoylcarnitine	1161	260.1839	-6.6	3	C13H25NO4	[M + H]+	0.91	VVPRQWTYSNDTEA	0.706671570350694	5.78110088708341e-06	0.00140557832901288	Fatty acid esters
octanoylcarnitine	1092	288.2155	-5.2	4.1	C15H29NO4	[M + H]+	0.98	CXTATJFJDMJMIY	0.795608534329731	6.41601183771635e-06	0.00146244969825947	Fatty acid esters
9-Decenoylcarnitine	1232	314.2313	-4.1	4.6	C17H31NO4	[M + H]+	0.83	GOOOCIIXFLVRAG	0.790214508803055	7.1696934865992e-06	0.00153811012621337	Fatty acid esters
1-g-linolenoyl-2-pentadecanoyl-sn-glycerol	1770	577.4824	-0.5	8.5	C36H64O5	[M + H]+	0.73	XPGUEPBYNVJPCL	-0.947307063919827	7.59397832269788e-06	0.00153862438571551	Lineolic acids and derivatives
6-Keto-decanoylcarnitine	3393	330.2279	1.1	3.6	C17H31NO5	[M + H]+	0.51	DZALQUYFNHIYDL	0.881026997465853	9.62827879776956e-06	0.00161867225281626	Acyl carnitines
Transtorine	2203	190.0498	-0.4	1.3	C10H7NO3	[M + H]+	0.75	HCZHHEIFKROPDY	1.24139441360388	1.18112883468534e-05	0.0016567603308067	Quinoline carboxylic acids
Decanoyllevocarnitine	989	316.2469	-4.2	4.9	C17H33NO4	[M + H]+	0.99	LZOSYCMHQXPBFU	0.775785256003796	1.69518069978931e-05	0.00228974963412283	Acyl carnitines
1-pentadecanoyl-2-palmitoleoyl-sn-glycerol	1719	575.4672	4.4	9.2	C34H64O5	[M + Na]+	0.6	IHIWKNWPECHDKE	-1.02178677616748	1.90619245841362e-05	0.0023972013433912	Diacylglycerols
O-hexadecanedioyl-L-carnitine	4010	430.3178	3.4	5.2	C23H43NO6	[M + H]+	0.79	UNHCPLSWMNPZTD	0.943132353808591	2.62327082897877e-05	0.00316091419566875	Acyl carnitines
Octanedioylcarnitine	1999	318.1897	-4.4	2.5	C15H27NO6	[M + H]+	0.83	YVWVEIPYMGBQPE	0.982393425459197	2.86016365388178e-05	0.00316091419566875	Acyl carnitines
1-(pyridine-4-carbonylamino)-3-[(2S,3R,4S,5R,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]urea	630	365.1043	-6.8	0.3	C13H18N4O7	[M + Na]+	0.51	KPGYIOMDVKQYDK	0.949444949951982	3.68990173742317e-05	0.00395796224599479	Hexoses
(9E)-Octadec-9-enedioylcarnitine	1867	456.3311	-1.9	5.4	C25H45NO6	[M + H]+	0.61	CYPBWZKNUDFJJE	0.863207340408679	7.91818242950654e-05	0.00669717458873287	Tricarboxylic acids and derivatives
2-O-beta-d-xylopyranosyl d-xylose	2256	305.086	5.6	0.4	C10H18O9	[M + Na]+	0.63	FAXWMPSCKRTWTN	0.707948158347679	8.06767995836533e-05	0.00669717458873287	O-glycosyl compounds
Triundecanoin	1218	619.4911	0.5	9.1	C36H68O6	[M + Na]+	0.56	MBXVIRZWSHICAV	-0.980921052033085	7.66428911584157e-05	0.00669717458873287	Triacylglycerols
Acisoga	1088	185.1283	-0.7	0.7	C9H16N2O2	[M + H]+	0.75	OAUYENAPBFTAQT	0.676104438746666	7.04308303555918e-05	0.00669717458873287	N-alkylpyrrolidines
Phenylalanylproline	1552	263.1392	0.6	2.6	C14H18N2O3	[M + H]+	0.89	WEQJQNWXCSUVMA	-0.557709624359743	9.90674105269404e-05	0.00722597692383503	Dipeptides
Stearolicacid	1323	281.2473	-0.9	9.2	C18H32O2	[M + H]+	0.6	RGTIBVZDHOMOKC	-0.881348155283229	0.000102962372566106	0.00736281907350176	Long-chain fatty acids
1-eicosapentaenoyl-glycero-3-phosphocholine	1165	564.3048	-2.3	6	C28H48NO7P	[M + Na]+	0.87	PDIGSOAOQOXRDU	-0.662597823329205	0.00012835132096614	0.00866846791784281	Lysophosphatidylcholines
9,14-dihydroxyoctadecanoic acid	3185	317.2683	-1	9.2	C18H36O4	[M + H]+	0.61	UHSVJNCEYVVOCB	-0.826543088314603	0.000139236308838238	0.00915375679185433	Long-chain fatty acids
4-Pyridoxate	1842	184.0596	-4.7	0.4	C8H9NO4	[M + H]+	0.8	HXACOUQIXZGNBF	0.735491263447863	0.000157376362536015	0.0100693262134886	Pyridinecarboxylic acids
Sphingosine-1-phosphate-d7	952	380.2548	-3.3	5.8	C18H38NO5P	[M + H]+	0.99	DUYSYHSSBDVJSM	-0.418939245651451	0.000161713639524838	0.0101684421266738	Phosphosphingolipids
3-hydroxydecanoyl carnitine	1932	332.2442	3	3.4	C17H33NO5	[M + H]+	0.71	VCRSQDIROUELAR	0.905720835172062	0.000172156422119375	0.0106416012113451	Acyl carnitines
cis,cis,cis-9,12,15-heneicosatrienoic acid	1407	321.2784	-1.2	9	C21H36O2	[M + H]+	0.57	WHLKAPQFQWYTAL	-0.641366540215525	0.000178528022105066	0.010851528276953	Long-chain fatty acids
Allodihydrohydrocortisone	2407	365.2305	-4.8	3.9	C21H32O5	[M + H]+	0.82	ACSFOIGNUQUIGE	0.705369151705515	0.000201302029197186	0.0120352213193793	Hydroxysteroids
Desoxyisosteviol	5626	327.2323	8.6	4.9	C20H32O2	[M + Na]+	0.63	VHAZSZJVOSGWCB	3.33821762724025	0.000225319888124766	0.012642178953708	Diterpenoids
Amoxydramine	4289	272.1633	-4.5	4.2	C17H21NO2	[M + H]+	0.67	OEQNVWKWQPTBSC	-2.2029183868041	0.000232094153240168	0.012824960255559	Diphenylmethanes
(2S,3S,4S,5R,6R)-3,4,5-trihydroxy-6-[(4R,6R)-2-hydroxy-2-methyl-6-[(3R,5S,7R,8R,9S,10S,12S,13R,14S,17R)-3,7,12-trihydroxy-10,13-dimethyl-2,3,4,5,6,7,8,9,11,12,14,15,16,17-tetradecahydro-1H-cyclopenta[a]phenanthren-17-yl]heptan-4-yl]oxyoxane-2-carboxylic acid	1928	629.392	3.8	5	C33H56O11	[M + H]+	0.72	JPGSFBZIHYWZQB	0.623987835890826	0.000237471378450151	0.0129168021932851	Steroid glucuronide conjugates
Hydroxymetronidazole	1011	188.0663	-1.4	0.5	C6H9N3O4	[M + H]+	0.93	AEHPOYAOLCAMIU	0.429894660895206	0.000288546443242127	0.0141382983571962	Nitroimidazoles
Nudifloramide	1772	153.0653	-3.8	0.4	C7H8N2O2	[M + H]+	0.66	JLQSXXWTCJPCBC	0.948534826466718	0.000282096259144896	0.0141382983571962	Nicotinamides
[(2S,3R)-3-hydroxy-2-(octanoylamino)tridecyl] dihydrogen phosphate	897	438.2993	3.2	6.6	C21H44NO6P	[M + H]+	0.52	LQICBGFMERKBCG	-0.431106764571671	0.000297159337700192	0.0141382983571962	Phosphoethanolamines
